Region,Variety,Score
Achaia,Abouriou,80
Aconcagua Costa,Agiorgitiko,81
Aconcagua Valley,Aglianico,82
Aegean,Aidani,83
Agioritikos,Airen,84
Ahr,Albana,85
Alenquer,Albanello,86
Alentejano,Albariño,87
Alentejo,Albarossa,88
Alenteo,Aleatico,89
Algarve,Alfrocheiro,90
Alsace,Alicante,91
America,Alicante Bouschet,92
Amindeo,Aligoté,93
Amyndeon,Alsace white blend,94
Andalucia,Altesse,95
Ankara,Alvarelhão,96
Apalta,Alvarinho,97
Arcadia,Alvarinho-Chardonnay,98
Arizona,Ansonica,99
Armenia,Antão Vaz,100
Atalanti Valley,Apple,
Atlantida,Aragonez,
Attica,Aragonês,
Australia Other,Argaman,
Austria,Arinto,
Awatere Valley,Arneis,
Baden,Asprinio,
Bairrada,Assyrtico,
Beaujolais,Assyrtiko,
Beira Atlantico,Athiri,
Beira Interior,Austrian Red Blend,
Beiras,Austrian white blend,
Bekaa Valley,Auxerrois,
Beotia,Avesso,
Black Sea Coastal,Azal,
Bordeaux,Babić,
Bot River,Babosa Negro,
Brazil,Bacchus,
Brda,Baco Noir,
Breede River Valley,Baga,
Breedekloof,Baga-Touriga Nacional,
British Columbia,Barbera,
Bucelas,Barbera-Nebbiolo,
Buin,Bastardo,
Bulgaria,Biancale,
Burgenland,Biancolella,
Burgundy,Biancu Gentile,
Bío Bío Valley,Bical,
Cachapoal Valley,Black Monukka,
Cahul,Black Muscat,
California,Blanc du Bois,
Campanha,Blatina,
Canada Other,Blauburger,
Canelones,Blauburgunder,
Canterbury,Blauer Portugieser,
Cape Agulhas,Blaufränkisch,
Cape Peninsula,Bobal,
Cape South Coast,Bobal-Cabernet Sauvignon,
Cappadocia,Bombino Bianco,
Carnuntum,Bombino Nero,
Casablanca & Leyda Valleys,Bonarda,
Casablanca Valley,Bordeaux-style Red Blend,
Casablanca-Curicó Valley,Bordeaux-style White Blend,
Catalonia,Bovale,
Cauquenes Valley,Boğazkere,
Cederberg,Brachetto,
Central Greece,Braucol,
Central Italy,Bual,
Central Otago,Cabernet,
Central Spain,Cabernet Blend,
Central Valley,Cabernet Franc,
Cephalonia,Cabernet Franc-Cabernet Sauvignon,
Ceres Plateau,Cabernet Franc-Carmenère,
Chalkidiki,Cabernet Franc-Lemberger,
Champagne,Cabernet Franc-Malbec,
Chile,Cabernet Franc-Merlot,
China,Cabernet Merlot,
Choapa Valley,Cabernet Moravia,
Coastal Region,Cabernet Pfeffer,
Codru Region,Cabernet Sauvignon,
Coelemu,Cabernet Sauvignon Grenache,
Colares,Cabernet Sauvignon-Barbera,
Colchagua Costa,Cabernet Sauvignon-Cabernet Franc,
Colchagua Valley,Cabernet Sauvignon-Carmenère,
Colorado,Cabernet Sauvignon-Malbec,
Commandaria,Cabernet Sauvignon-Merlot,
Connecticut,Cabernet Sauvignon-Merlot-Shiraz,
Constantia,Cabernet Sauvignon-Sangiovese,
Corinth,Cabernet Sauvignon-Shiraz,
Corinthia,Cabernet Sauvignon-Syrah,
Crete,Cabernet Sauvignon-Tempranillo,
Croatia,Cabernet-Malbec,
Curicó Valley,Cabernet-Shiraz,
Curicó and Leyda Valleys,Cabernet-Syrah,
Curicó and Maipo Valleys,Canaiolo,
Cyclades,Cannonau,
Cyprus,Caprettone,
Dalmatian Coast,Carcajolu,
Dan,Carignan,
Danube River Plains,Carignan-Grenache,
Darling,Carignan-Syrah,
Dealu Mare,Carignane,
Dealurile Hușilor,Carignano,
Dealurile Munteniei,Carineña,
Devon Valley,Cariñena-Garnacha,
Dingač,Carmenère,
Dolenjska,Carmenère-Cabernet Sauvignon,
Douro,Carmenère-Syrah,
Drama,Carricante,
Durbanville,Casavecchia,
Duriense,Castelão,
Dão,Catalanesca,
East Coast,Catarratto,
Eger,Cayuga,
Egypt,Centesimino,
Eilandia,Cerceal,
Eisenberg,Cercial,
Elazığ,Cesanese,
Elazığ-Diyarbakir,Cesanese d'Affile,
Elgin,Chambourcin,
Elim,Champagne Blend,
Ella Valley,Chancellor,
Elqui Valley,Charbono,
England,Chardonel,
Epanomi,Chardonnay,
Estremadura,Chardonnay Weissburgunder,
Florina,Chardonnay-Albariño,
France Other,Chardonnay-Pinot Blanc,
Franken,Chardonnay-Pinot Gris,
Franschhoek,Chardonnay-Riesling,
Fruška Gora,Chardonnay-Sauvignon,
Galicia,Chardonnay-Sauvignon Blanc,
Galil,Chardonnay-Semillon,
Galilee,Chardonnay-Viognier,
Georgia,Chasselas,
Germany,Chelois,
Gisborne,Chenin Blanc,
Gladstone,Chenin Blanc-Chardonnay,
Golan Heights,Chenin Blanc-Sauvignon Blanc,
Goriska Brda,Chenin Blanc-Viognier,
Goumenissa,Chinuri,
Greece,Ciliegiolo,
Groenekloof,Cinsault,
Guerrouane,Clairette,
Halkidiki,Claret,
Haut-Judeé,Cococciola,
Hawaii,Coda di Volpe,
Hawke's Bay,Colombard,
Helderberg,Colombard-Sauvignon Blanc,
Hemel en Aarde,Colombard-Ugni Blanc,
Hrvatsko Primorje,Colorino,
Hungary,Cortese,
Hvar,Corvina,
Ica,"Corvina, Rondinella, Molinara",
Idaho,Counoise,
Illinois,Códega do Larinho,
Imathia,Dafni,
Iowa,Debit,
Ismarikos,Diamond,
Israel,Dolcetto,
Istria,Dornfelder,
Italy Other,Doña Blanca,
Itata Valley,Duras,
Jerusalem Hills,Durella,
Jidvei,Durif,
Jonkershoek Valley,Edelzwicker,
Juanico,Ekigaïna,
Judean Hills,Elbling,
Kakheti,Emir,
Kamptal,Encruzado,
Kathikas,Erbaluce,
Kentucky,Espadeiro,
Korinthia,Falanghina,
Korčula,Favorita,
Krania Olympus,Fer Servadou,
Kras,Fernão Pires,
Kremstal,Feteasca,
Krk,Feteasca Neagra,
Kumeu,Feteascǎ Regalǎ,
Kutjevo,Fiano,
Lakonia,Folle Blanche,
Landwein Rhein,Forcallà,
Languedoc-Roussillon,Francisa,
Lebanon,Franconia,
Leithaberg,Frankovka,
Lemesos,Frappato,
Lesbos,Freisa,
Letrinon,Friulano,
Levante,Früburgunder,
Leyda Valley,Fumé Blanc,
Leyda Valley-Maipo Valley,Furmint,
Limarí Valley,G-S-M,
Limnos,Gaglioppo,
Lisboa,Gamay,
Loire Valley,Gamay Noir,
Lolol Valley,Gamza,
Lombardy,Garganega,
Loncomilla Valley,Garnacha,
Lontué Valley,Garnacha Blanca,
Lutzville Valley,Garnacha Blend,
Macedonia,Garnacha Tintorera,
Madeira,Garnacha-Cabernet,
Maipo Valley,Garnacha-Cariñena,
Maipo Valley-Colchagua Valley,Garnacha-Monastrell,
Malgas,Garnacha-Syrah,
Malleco,Garnacha-Tempranillo,
Mantinia,Gelber Muskateller,
Marchigue,Gelber Traminer,
Markopoulo,Gewürztraminer,
Marlborough,Gewürztraminer-Riesling,
Martinborough,Glera,
Massachusetts,Godello,
Maule Valley,Gouveio,
Mavrodaphne de Cephalonie,Graciano,
Mavrodaphne of Patras,Gragnano,
Mendoza Province,Grauburgunder,
Messinia,Graševina,
Michigan,Grecanico,
Middle and South Dalmatia,Grechetto,
Minho,Greco,
Missouri,Greco Bianco,
Mittelburgenland,Grenache,
Mittelrhein,Grenache Blanc,
Moldova,Grenache Blend,
Molina,Grenache Gris,
Monemvasia,Grenache Noir,
Montevideo,Grenache-Carignan,
Moravia,Grenache-Mourvèdre,
Morocco,Grenache-Shiraz,
Moscatel de Setúbal,Grenache-Syrah,
Moscatel do Douro,Grignolino,
Mosel,Grillo,
Mosel-Saar-Ruwer,Grolleau,
Moselle Luxembourgeoise,Groppello,
Mostar,Gros Manseng,
Mount Athos,Gros Plant,
Murfatlar,Gros and Petit Manseng,
Muscat of Kefallonian,Grüner Veltliner,
Muscat of Patras,Hondarrabi Zuri,
Muzla,Hárslevelü,
Mátra,Incrocio Manzoni,
Nahe,Insolia,
Naoussa,Inzolia,
Nashik,Irsai Oliver,
Negev,Jacquez,
Negev Hills,Jacquère,
Nelson,Jaen,
Nemea,Jampal,
Neuchâtel,Johannisberg Riesling,
Neusiedlersee,Kadarka,
Nevada,Kalecik Karasi,
New Jersey,Kangoun,
New Mexico,Karalahna,
New South Wales,Karasakiz,
New York,Kekfrankos,
New Zealand,Kerner,
Niederösterreich,Kinali Yapincak,
North Carolina,Kisi,
North Dalmatia,Kotsifali,
Northeastern Italy,Kuntra,
Northern Cape,Lagrein,
Northern Spain,Lambrusco,
Northwestern Italy,Lambrusco Grasparossa,
Obidos,Lambrusco Salamino,
Ohio,Lambrusco di Sorbara,
Olifants River,Lemberger,
Ontario,Listán Negro,
Oregon,Loin de l'Oeil,
Other,Loureiro,
Overberg,Loureiro-Arinto,
Paardeberg,Macabeo,
